Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SignUp with packages,,,,2022-03-11 11:02:08,2022-03-11 11:02:20,11.701s,FAILED
,,,,,,,
Test Cases/SignUp/Sign-up with email/Sig-up email-free-from landing,,,signup,2022-03-11 11:02:08,2022-03-11 11:02:13,5.068s,FAILED
"openBrowser("""")",,,,2022-03-11 11:02:09,2022-03-11 11:02:13,4.704s,FAILED
,,,,,,,
Test Cases/SignUp/Sign-up with email/SignUp with email and basic,,,SignUp,2022-03-11 11:02:13,2022-03-11 11:02:15,1.623s,FAILED
"openBrowser("""")",,,,2022-03-11 11:02:14,2022-03-11 11:02:15,1.244s,FAILED
,,,,,,,
Test Cases/SignUp/Sign-up with email/SignUp with email and business,,,SignUp,2022-03-11 11:02:15,2022-03-11 11:02:16,1.569s,FAILED
"openBrowser("""")",,,,2022-03-11 11:02:15,2022-03-11 11:02:16,1.257s,FAILED
,,,,,,,
Test Cases/SignUp/Sign-up with email/SignUp with email and free,,,SignUp,2022-03-11 11:02:17,2022-03-11 11:02:18,1.552s,FAILED
"openBrowser("""")",,,,2022-03-11 11:02:17,2022-03-11 11:02:18,1.187s,FAILED
,,,,,,,
Test Cases/SignUp/Sign-up with email/SignUp with email and skip,,,SignUp,2022-03-11 11:02:18,2022-03-11 11:02:20,1.493s,FAILED
"openBrowser("""")",,,,2022-03-11 11:02:18,2022-03-11 11:02:20,1.190s,FAILED
